Orbit Number,Frame,Disk Misalignment,Ecc Inner,Ecc Outer,Angle Inner,Angle Outer
1290.0,0,1.8154,0.1045,0.0138,1.9199853071795863,0.1046
1300.0,0,1.777,0.1045,0.0139,1.9191853071795864,0.1422
1310.0,0,1.7382,0.1047,0.014,1.9198853071795865,0.1817
1320.0,0,1.7507,0.1048,0.0142,1.920885307179586,0.1702
1330.0,0,1.5535,0.1048,0.0143,1.9247853071795866,0.3713
1340.0,0,1.5101,0.1051,0.0145,1.9239853071795858,0.4139
1350.0,0,1.4798,0.1052,0.0146,1.9275853071795863,0.4478
1360.0,0,1.5178,0.1052,0.0149,1.9358853071795865,0.4181
1370.0,0,1.4293,0.1048,0.0151,1.9361853071795858,0.5069
1380.0,0,1.4445,0.1052,0.0154,1.939885307179586,0.4954
1390.0,0,1.3836,0.1054,0.0156,1.940685307179586,0.5571
1400.0,0,1.3396,0.1055,0.0158,1.9461853071795865,0.6066
1410.0,0,1.3547,0.1058,0.0161,1.9515853071795863,0.5969
1420.0,0,1.2782,0.1059,0.0164,1.9561853071795863,0.678
1430.0,0,1.3082,0.1059,0.0168,1.9620853071795858,0.6539
1440.0,0,1.3083,0.1062,0.0171,1.9615853071795861,0.6533
1450.0,0,1.2314,0.1059,0.0174,1.9700853071795859,0.7387
1460.0,0,1.2646,0.1062,0.0177,1.9723853071795858,0.7078
1470.0,0,1.2026,0.1057,0.018,1.9811853071795866,0.7786
1480.0,0,1.1458,0.1051,0.0183,1.9945853071795865,0.8488
1490.0,0,1.193,0.1045,0.0186,2.004285307179586,0.8113
1500.0,0,1.1805,0.1054,0.019,2.0120853071795866,0.8316
1510.0,0,1.0853,0.1058,0.0193,2.018085307179586,0.9328
1520.0,0,1.1556,0.1058,0.0196,2.0234853071795866,0.8679
1530.0,0,1.1345,0.1058,0.02,2.0376853071795864,0.9032
1540.0,0,1.0721,0.1061,0.0204,2.0455853071795866,0.9735
1550.0,0,1.0732,0.1064,0.0207,2.058085307179586,0.9849
1560.0,0,1.1315,0.1066,0.0211,2.070585307179586,0.9391
1570.0,0,1.1832,0.1065,0.0214,2.0764853071795866,0.8933
1580.0,0,1.3847,0.1072,0.0218,2.0876853071795862,0.703
1590.0,0,1.6003,0.1077,0.0221,2.096985307179586,0.4967
1600.0,0,1.773,0.108,0.0224,2.1119853071795864,0.339
1610.0,0,2.031,0.1081,0.0227,2.128185307179586,0.0972
1620.0,0,2.3209,0.1087,0.023,2.1412853071795865,6.1035853071795865
1630.0,0,2.4745,0.1082,0.0233,2.159085307179586,5.967785307179586
1640.0,0,2.5875,0.1078,0.0236,2.176485307179586,5.872185307179587
1650.0,0,2.8048,0.1079,0.0238,2.1904853071795864,5.668885307179586
1660.0,0,2.861,0.1081,0.0241,2.206285307179586,5.628485307179586
1670.0,0,2.979,0.1083,0.0243,2.2217853071795863,5.525985307179586
1680.0,0,3.1845,0.1082,0.0246,2.237085307179586,5.335785307179586
1690.0,0,3.3749,0.1079,0.0249,2.254785307179586,5.163085307179586
1700.0,0,3.4657,0.1076,0.0251,2.2681853071795866,5.0856853071795864
1710.0,0,3.7135,0.107,0.0254,2.2823853071795863,4.852085307179586
1720.0,0,3.9897,0.1066,0.0257,2.3025853071795863,4.596085307179586
1730.0,0,4.5648,0.1064,0.0259,2.317385307179586,4.035785307179586
1740.0,0,5.3364,0.1067,0.0261,2.331485307179586,3.278285307179586
1750.0,0,5.7688,0.1069,0.0264,2.3446853071795863,2.859085307179586
1760.0,0,6.1136,0.1072,0.0267,2.3579853071795864,2.5275853071795864
1770.0,0,0.1338,0.1078,0.0269,2.369385307179586,2.235585307179586
1780.0,0,0.2348,0.1086,0.0272,2.3789853071795863,2.144185307179586
1790.0,0,0.3174,0.1092,0.0275,2.3940853071795862,2.076685307179586
